id,name,district,submarket,submarketSource,address,propertyType,publicBuildingType,buildingForm,buildingFormStatus,buildingFormSource,builtYear,builtYearSource,unitPrice,unitPriceSource,priceType,sellCount,source,sourceName,detailStatus
"gotohui-530851","朗诗·国际街区南园","建邺","奥体","公开地址归并板块","南京建邺区嘉陵江东街87号","住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/530851","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-328511","朗诗·国际街区中园","建邺","河西中部","公开地址归并板块","南京建邺区河西大街","住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/328511","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251089","朗诗熙华府","建邺","奥体","公开地址归并板块","建邺奥南","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2018","聚汇数据小区详情页建筑年代","48073","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/251089","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484595","乐基广场","建邺","","","建邺云锦路与所街交汇处","市场类商铺","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/1484595","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1626379","郦城御园","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","53553","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1626379","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-250982","涟城","建邺","南苑","公开地址归并板块","建邺怡康街8号","普通住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","21000","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/250982","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-68280","莲花新城北苑","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","19889","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/68280","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-67970","莲花新城嘉园","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","21034","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/67970","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-73958","莲花新城南苑","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","19243","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/73958","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251283","凌江府","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","63653","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/251283","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484601","龙湖·时代上城","建邺","河西中部","公开地址归并板块","建邺河西大街与云龙山路交汇处","标准写字楼,商业,酒店式公寓","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","28351","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1484601","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-72888","鲁能公馆","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","46297","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/72888","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625878","绿岛新村","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","25222","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625878","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1484594","绿地华侨城海珀滨江","建邺","","","建邺河西","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2018","聚汇数据小区详情页建筑年代","54606","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1484594","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1626377","绿地华侨城海珀滨江二期","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","50449","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1626377","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
